ހަރުދަނާ	harudhanaa
ދެމިތިބުމުގަޔާއި،	dhemithibumugayaai،
ދެމެހެއްޓުމަށްޓަކައި،	dhemeheއtumashtakai،
ދޭނަމަ،	dheynama،
ދޭނެ	dheyne
ދޭންވާ	dheynvaa
ދޭދޭ	dheydhey
ތަނެއްގައި	thaneއgai
ތަންތަނުގެ	thanthanuge
ތަރައްޤީ	tharaއޤee
ތަރުތީބުކޮށްގެން،	tharutheebukoshgen،
ތަރުޖަމާކުރެވިފައި	tharujamaakurevifai
ތަރުޖަމާކޮށް	tharujamaakosh
ތަރުޖަމާގެންވާ	tharujamaagenvaa
ތަބަޢީ	thabaޢee
ތަބާވާން	thabaavaan
ތަބާވާންވާނެއެވެ	thabaavaanvaaneeve
ތަބާވުމުގެ	thabaavumuge
ތަބާވެގެން،	thabaavegen،
ތަކަކަށް	thakakash
ތަކަކަށްޓަކައި	thakakashtakai
ތަކަކީ،	thakakee،
ތަކަކުން	thakakun
ތަކެއްގެ	thakeއge
ތަފާތު	thafaathu
ތަފާތުކުރުމެއް	thafaathukurumeއ
ތަފާތެއް	thafaatheއ
ތަޙައްމަލު	thaޙaއmalu
ތަޢާރުޟުވާ	thaޢaaruޟuvaa
ތަޢުލީމަކީ،	thaޢuleemakee،
ތަޢުލީމާއި	thaޢuleemaai
ތަޢުލީމު	thaޢuleemu
ތަޢުލީމުގެ	thaޢuleemuge
ތަޢުލީމެކެވެ	thaޢuleemekeve
ތަޢުލީމެއްގެ	thaޢuleemeއge
ތަޢުލީމެވެ	thaޢuleemeve
ތިމާ	thimaa
ތިމާއާމެދު	thimaaaamedhu
ތިމާއެކަނި،	thimaaekani،
ތިމާގެ	thimaage
ތިމާގެހަށިގަނޑާއި	thimaagehashigandaai
ތުން،	thun،
ތެރި	theri
ތެރެއިން	therein
ތެރެއިންނެވެ	thereinneve
ތެރޭގައި	thereygai
ތެރޭގައި،	thereygai،
ތެދުވެރި	thedhuveri
ލާއިންސާނީ،	laainsaanee،
ލިބި	libi
ލިބިހުރުމާއި،	libihurumaai،
ލިބިދިނުމާއެކު،	libidhinumaaeku،
ލިބިދީފައިވާ	libidheefaivaa
ލިބިދީފައިވާ،	libidheefaivaa،
ލިބިދެނީ،	libidhenee،
ލިބިދޭ	libidhey
ލިބިދޭން	libidheyn
ލިބިގަތުމާއި،	libigathumaai،
ލިބިގަތުމުގެ	libigathumuge
ލިބިގަތުމުިގެ	libigathumuige
ލިބިގެން	libigen
ލިބިގެންވާ	libigenvaa
ލިބިގެންވާކަން	libigenvaakan
ލިބިގެންވެއެވެ	libigenveeve
ލިބުން	libun
ލިބުމުން	libumun
ލިބެނިވި	libenivi
ލިބެން	liben
ލިބެންވާނެ	libenvaane
ލިބޭ	libey
ލިބޭފަދަ	libeyfadha
ލިޔާ	liyaa
ލުމުގެ	lumuge
ގަނެވިން	ganevin
ގަބޫލު	gaboolu
ގައި	gai
ގައި،	gai،
ގުޅިލާމެހިފައިވާ،	gulhilaamehifaivaa،
ގުޅިގެން	gulhigen
ގުޅުންތައް	gulhunthaއ
ގުޅުމެއްގެ	gulhumeއge
ގުޅޭގޮތުން	gulheygothun
ގެ	ge
ގެން	gen
ގެންވާ	genvaa
ގެންގުޅުމާއި،	gengulhumaai،
ގެންގުޅެވިގެން	gengulhevigen
ގެންގުޅެގެން	gengulhegen
ގެންގުޅޭ	gengulhey
ގެދޮރާއި،	gedhoraai،
ގޮ	go
ގޮވާލައިފައެވެ	govaalaifaeve
ގޮތަށް	gothash
ގޮތަކަށް	gothakash
ގޮތަކަށް،	gothakash،
ގޮތަކީ	gothakee
ގޮތަކުން	gothakun
ގޮތާއި،	gothaai،
ގޮތުން	gothun
ގޮތުން،	gothun،
ގޮތުންނާއި،	gothunnaai،
ގޮތުންނެވެ	gothunneve
ގޮތުގައި،	gothugai،
ގޮތުގައެވެ	gothugaeve
ގޮތުގެ	gothuge
ގޮތެއް	gotheއ
ގޮތެއްގައި،	gotheއgai،
ގޮތެއްގެ	gotheއge
ގޮތެވެ	gotheve
ގޮތް	goth
ގޮތްގޮތަށް	gothgothash
ސަރަޙައްދަކީ	saraޙaއdhakee
ސަރަޙައްދުގެ	saraޙaއdhuge
ސަރުކާރުން	sarukaarun
ސަރުކާރުންދޭ	sarukaarundhey
ސަރުކާރުގެ	sarukaaruge
ސަބަބަކާ	sababakaa
ސަބަބު	sababu
ސަބަބުން	sababun
ސައިންސްގެ	sainsge
ސަމާލުކަން	samaalukan
ސަމާލުކަމެއް	samaalukameއ
ސަލާމަތް	salaamath
ސިއްރު	siއru
ސިއްރުން	siއrun
ސިޓީގެ	siteege
ސިޔާދަތީ	siyaadhathee
ސިޔާސީ	siyaasee
ސިޔާސީގޮތުން	siyaaseegothun
ސެޕްޓެމްބަރ	septembar
ޑިސެމްބަރ	disembar
ޒަރީޢާއިން	zareeޢaain
ޒަރީޢާއިންނެވެ	zareeޢaainneve
ޒާތުގެ	zaathuge
ޖަމާޢަތަކަށް	jamaaޢathakash
ޖަމާޢަތަކަށް،	jamaaޢathakash،
ޖަމާޢަތެވެ	jamaaޢatheve
ޖަމާޢަތްތަކުގައި	jamaaޢaththakugai
ޖަމާޢަތްތަކުގެ	jamaaޢaththakuge
ޖަމާޢަތްތައް	jamaaޢaththaއ
ޖަލްސާއިން	jalsaain
ޖިނާއީ	jinaaee
ޖިންސާއި،	jinsaai،
ޖެހިފައިވާކަމާއި،	jehifaivaakamaai،
ޗުއްޓީ	chuއtee
ޘަޤާފީ	ޘaޤaafee
ޙަރަކާތެއް	ޙarakaatheއ
ޙަރަކާތްތައް،	ޙarakaaththaއ،
ޙައްޤާއި،	ޙaއޤaai،
ޙައްޤު	ޙaއޤu
ޙައްޤު،	ޙaއޤu،
ޙައްޤުވެސް	ޙaއޤuves
ޙައްޤުވެސް،	ޙaއޤuves،
ޙައްޤުތަކަށެވެ	ޙaއޤuthakasheve
ޙައްޤުތަކަށް	ޙaއޤuthakash
ޙައްޤުތަކަކަށް	ޙaއޤuthakakash
ޙައްޤުތަކަކާއި	ޙaއޤuthakakaai
ޙައްޤުތަކަކާއެކު،	ޙaއޤuthakakaaeku،
ޙައްޤުތަކަކީ	ޙaއޤuthakakee
ޙައްޤުތަކާ	ޙaއޤuthakaa
ޙައްޤުތަކާއި	ޙaއޤuthakaai
ޙައްޤުތަކާއި،	ޙaއޤuthakaai،
ޙައްޤުތަކުގެ	ޙaއޤuthakuge
ޙައްޤުތަކެއް	ޙaއޤuthakeއ
ޙައްޤުތަކެއް،	ޙaއޤuthakeއ،
ޙައްޤުތައް	ޙaއޤuthaއ
ޙައްޤުތައް،	ޙaއޤuthaއ،
ޙައްޤެއް	ޙaއޤeއ
ޙައްޤެއް،	ޙaއޤeއ،
ޙަޔާތުގައި،	ޙayaathugai،
ޙާލަތްތަކުގައި،	ޙaalaththakugai،
ޙާލެއްގައި	ޙaaleއgai
ޙާޞިލުކުރުމަށްޓަކައި	ޙaaޞilukurumashtakai
ޙާޞިލުކޮށްދޭ،	ޙaaޞilukoshdhey،
ޙާޞިލުކޮސްދޭންވީ	ޙaaޞilukosdheynvee
ޙިއްޞާ	ޙiއޞaa
ޙިމާޔަތް	ޙimaayath
ޙިމާޔަތް،	ޙimaayath،
ޙުރުމަތަށް	ޙurumathash
ޙުރުމަތް	ޙurumath
ޙުރުމަތްތެރިކޮށް	ޙurumaththerikosh
ޚާއްޞަ	ޚaaއޞa
ޚިދުމަތަށް	ޚidhumathash
ޚިދުމަތް	ޚidhumath
ޚިދުމަތްތައް	ޚidhumaththaއ
ޚިލާފަށް	ޚilaafash
ޚިލާފު	ޚilaafu
ޚިލާފުނުވާ	ޚilaafunuvaa
ޚިޔާލު	ޚiyaalu
ޚިޔާލުފާޅުކުރުމުގެ	ޚiyaalufaalhukurumuge
ޚިޔާލުތައް	ޚiyaaluthaއ
ޛަރީޢާއިން	ޛareeޢaain
ޝަރީޢަތުގެ	ޝareeޢathuge
ޝަރީޢަތެއްގައި،	ޝareeޢatheއgai،
ޝަރުތުތަކެއްގެ	ޝaruthuthakeއge
ޝަރުޢީ	ޝaruޢee
ޝައުޤުވެރިކަމާއެކު	ޝauޤuverikamaaeku
ޝަޚްސް	ޝaޚs
ޝަޚްޞު	ޝaޚޞu
ޞިއްޙަތެއްގައި،	ޞiއޙatheއgai،
ޞިއްޙީ	ޞiއޙee
ޞުލްހަ	ޞulha
ޞުލްޙަވެރިކަން	ޞulޙaverikan
ޞުލްޙަވެރިކަމާއެކު	ޞulޙaverikamaaeku
ޠަބީޢަތް،	ޠabeeޢath،
ޢަމަލީގޮތުން	ޢamaleegothun
ޢަމަލު	ޢamalu
ޢަމަލުކުރަންޖެހޭނީ	ޢamalukuranjeheynee
ޢަމަލުކުރާނެގޮތް	ޢamalukuraanegoth
ޢަމަލުތަކާ	ޢamaluthakaa
ޢަމަލުތައް	ޢamaluthaއ
ޢަމަލެއް	ޢamaleއ
ޢަމަލެއް،	ޢamaleއ،
ޢަދުލުވެރިކަމާއި،	ޢadhuluverikamaai،
ޢަދުލްވެރި	ޢadhulveri
ޢަދުލްވެރި،	ޢadhulveri،
ޢަޒުމް	ޢazum
ޢަޒުމްގެ	ޢazumge
ޢާންމު	ޢaanmu
ޢާންމުންނަށް	ޢaanmunnash
ޢާންމުކުރުމެވެ	ޢaanmukurumeve
ޢާންމުކޮށް	ޢaanmukosh
ޢާއިލާއަށް	ޢaailaaash
ޢާއިލާއަކީ	ޢaailaaakee
ޢާއިލާއާއި،	ޢaailaaaai،
ޢާއިލާއެއް	ޢaailaaeއ
ޢާއިލާއެއްގެ	ޢaailaaeއge
ޢާއިލާގެ	ޢaailaage
ޢާއްމު	ޢaaއmu
ޢާއްމުކޮށް	ޢaaއmukosh
ޢާއްމުމިކުރެވެނީ	ޢaaއmumikurevenee
ޢުމުރަށް	ޢumurash
ޤަރާރަކީ	ޤaraarakee
ޤަރާރު	ޤaraaru
ޤަރާރުގައި	ޤaraarugai
ޤަރާރެކެވެ	ޤaraarekeve
ޤަބޫލު	ޤaboolu
ޤަބޫލުކުރާ	ޤaboolukuraa
ޤަބޫލުކުރުން	ޤaboolukurun
ޤަބޫލުކުރުން،	ޤaboolukurun،
ޤަބޫލުކުރުމުގެ	ޤaboolukurumuge
ޤަބޫލުކުރެވެންވެސް	ޤaboolukurevenves
ޤަބޫލުކޮށް،	ޤaboolukosh،
ޤައުމަށް	ޤaumash
ޤައުމަކަށް	ޤaumakash
ޤައުމަކީ،	ޤaumakee،
ޤައުމަކުން	ޤaumakun
ޤައުމަކުންބަލަހައްޓަމުންދާ	ޤaumakunbalahaއtamundhaa
ޤައުމީ	ޤaumee
ޤައުމު	ޤaumu
ޤައުމުތަކުން	ޤaumuthakun
ޤައުމުތަކުގެ	ޤaumuthakuge
ޤައުމުތަކެއްގެ	ޤaumuthakeއge
ޤައުމުގެ	ޤaumuge
ޤައުމެއް	ޤaumeއ
ޤަދަރަށް	ޤadharash
ޤަދަރު	ޤadharu
ޤަދަރުވެރިވުންފަދަ،	ޤadharuverivunfadha،
ޤަދަރުވެރިވުމާއި،	ޤadharuverivumaai،
ޤަޢުމުތަކަށް	ޤaޢumuthakash
ޤަޢުމުތަކުގައި	ޤaޢumuthakugai
ޤާނޫނީ	ޤaanoonee
ޤާނޫނު	ޤaanoonu
ޤާނޫނުން	ޤaanoonun
ޤާނޫނުގައި	ޤaanoonugai
ޤާނޫނުގައިވާ	ޤaanoonugaivaa
ޤާނޫނުގެ	ޤaanoonuge
ޤާއިމު	ޤaaimu
ޤާއިމުކޮށް	ޤaaimukosh
ޤާއިމުވެ	ޤaaimuve
ޤާއިމްކޮށް	ޤaaimkosh
